2013-10-01 01:10:06.023 LaftripiOS[9565:5803] 76 Json'd: Tigilan mo na ang S
2013-10-01 01:10:06.045 LaftripiOS[9565:5803]  Json'd: 18 Below Are Not Allowed
2013-10-01 01:10:06.046 LaftripiOS[9565:5803]  Json'd: Dede
2013-10-01 01:10:06.046 LaftripiOS[9565:5803]  Json'd: Curtain and Kitchen
2013-10-01 01:10:06.047 LaftripiOS[9565:5803]  Json'd: Inday and the photographer
2013-10-01 01:10:06.047 LaftripiOS[9565:5803]  Json'd: Palusot
2013-10-01 01:10:06.047 LaftripiOS[9565:5803]  Json'd: Action King of the Philippines
2013-10-01 01:10:06.048 LaftripiOS[9565:5803]  Json'd: Rice please
2013-10-01 01:10:06.048 LaftripiOS[9565:5803]  Json'd: Erap's Dinner Meeting
2013-10-01 01:10:06.048 LaftripiOS[9565:5803]  Json'd: Rich vampire poor vampire
2013-10-01 01:10:06.049 LaftripiOS[9565:5803]  Json'd: Blank paper ng studyante 
2013-10-01 01:10:06.049 LaftripiOS[9565:5803]  Json'd: Advantage at disadvantage ng may-asawa 
2013-10-01 01:10:06.050 LaftripiOS[9565:5803]  Json'd: Dance
2013-10-01 01:10:06.050 LaftripiOS[9565:5803]  Json'd: ERAP IN SCHOOL
2013-10-01 01:10:06.050 LaftripiOS[9565:5803]  Json'd: Erap on the phone
2013-10-01 01:10:06.051 LaftripiOS[9565:5803]  Json'd: Erap tries paging
2013-10-01 01:10:06.051 LaftripiOS[9565:5803]  Json'd: Erap and his grandchild
2013-10-01 01:10:06.051 LaftripiOS[9565:5803]  Json'd: Laptop
2013-10-01 01:10:06.052 LaftripiOS[9565:5803]  Json'd: Ipot
2013-10-01 01:10:06.052 LaftripiOS[9565:5803]  Json'd: Mekaniko
Terminating in response to SpringBoard's termination.
